OLD Site,REF LOC_ID,New Site
ATG0027,D_ATG0027,
ATG0028,D_ATG0028,
ATG0029,D_ATG0029,
ATG0030,D_ATG0030,
ATG0031,D_ATG0031,
ATG0032,D_ATG0032,
ATG0033,D_ATG0033,
ATG0040,D_ATG0040,
ATG0043,D_ATG0043,
ATG0044,D_ATG0044,
ATG0047,D_ATG0047,
ATG0048,D_ATG0048,
ATG0049,D_ATG0049,
ATG0052,D_ATG0052,
ATG0053,D_ATG0053,
ATG0054,D_ATG0054,
ATG0055,D_ATG0055,
ATG0056,D_ATG0056,
ATG0057,D_ATG0057,
ATG0058,D_ATG0058,
ATG0059,D_ATG0059,
ATG0060,D_ATG0060,
ATG0061,D_ATG0061,
ATG0062,D_ATG0062,
ATG0064,D_ATG0064,
ATG0065,D_ATG0065,
ATG0066,D_ATG0066,
ATG0067,D_ATG0067,
ATG0068,D_ATG0068,
ATG0069,D_ATG0069,
ATG0070,D_ATG0070,
ATG0071,D_ATG0071,
ATG0072,D_ATG0072,
ATG0073,D_ATG0073,
ATG0074,D_ATG0074,
ATG0075,D_ATG0075,
ATG0076,D_ATG0076,
ATG0077,D_ATG0077,
ATG0078,D_ATG0078,
ATG0079,D_ATG0079,
ATG0080,D_ATG0080,
ATG0081,D_ATG0081,
ATG0083,D_ATG0083,
ATG0085,D_ATG0085,
ATG0086,D_ATG0086,
ATG0087,D_ATG0087,
ATG0088,D_ATG0088,
ATG0089,D_ATG0089,
ATG0090,D_ATG0090,
ATG0091,D_ATG0091,
ATG0092,D_ATG0092,
ATG0093,D_ATG0093,
ATG0094,D_ATG0094,
ATG0095,D_ATG0095,
ATG0096,D_ATG0096,
ATG0097,D_ATG0097,
ATG0098,D_ATG0098,
ATG0099,D_ATG0099,
ATG0100,D_ATG0100,
ATG0101,D_ATG0101,
ATG0102,D_ATG0102,
ATG0103,D_ATG0103,
ATG0104,D_ATG0104,
ATG0105,D_ATG0105,
ATG0106,D_ATG0106,
ATG0107,D_ATG0107,
ATG0108,D_ATG0108,
ATG0109,D_ATG0109,
ATG0110,D_ATG0110,
ATG0111,D_ATG0111,
ATG0112,D_ATG0112,
ATG0113,D_ATG0113,
ATG0114,D_ATG0114,
ATG0116,D_ATG0116,
ATG1101,T_ATG1101,
ATG1201,T_ATG1201,
ATG1301,T_ATG1301,
ATG1302,T_ATG1302,
ATG1304,T_ATG1304,
ATG1401,T_ATG1401,
ATG1501,T_ATG1501,
ATG1502,T_ATG1502,
ATG1503,T_ATG1503,
ATG1531,T_ATG1531,
ATG1532,T_ATG1532,
ATG6001,T_ATG6001,
ATG6002,T_ATG6002,
ATG6003,T_ATG6003,
ATG6004,T_ATG6004,
ATG6005,T_ATG6005,
ATG6006,T_ATG6006,
ATG6007,T_ATG6007,
ATG6701,T_ATG6701,
ATG6702,T_ATG6702,
ATG6703,T_ATG6703,
ATG6704,T_ATG6704,
ATG6705,T_ATG6705,
ATG6706,T_ATG6706,
ATG6707,T_ATG6707,
ATG6708,T_ATG6708,
ATG6709,T_ATG6709,
ATG6710,T_ATG6710,
ATG6711,T_ATG6711,
ATG6712,T_ATG6712,
ATG6713,T_ATG6713,
ATG6714,T_ATG6714,
ATG6715,T_ATG6715,
ATG6716,T_ATG6716,
ATG6717,T_ATG6717,
ATG6718,T_ATG6718,
ATG6719,T_ATG6719,
ATG6720,T_ATG6720,
